m201,2.5R,FF406C,F13E67,E33C62,D53A5D,C73858,B93653,AB344E,9D3249,8F3044,812E3F,732C3A,652A35,572830,49262B
m202,5R,FF4455,F14152,E33E4F,D53B4C,C73849,B93546,AB3243,9D2F40,8F2C3D,81293A,732637,652334,572031,491D2E
m203,7.5R,FF4B33,F24832,E54531,D84230,CB3F2F,BE3C2E,B1392D,A4362C,97332B,8A302A,7D2D29,702A28,632727,562426
m204,10R,FF7C31,F27630,E5702F,D86A2E,CB642D,BE5E2C,B1582B,A4522A,974C29,8A4628,7D4027,703A26,633425,562E24
m205,2.5YR,FF8B2C,F3822A,E77928,DB7026,CF6724,C35E22,B75520,AB4C1E,9F431C,933A1A,873118,7B2816,6F1F14,631612
m206,5YR,FFAE2B,F1A42A,E39A29,D59028,C78627,B97C26,AB7225,9D6824,8F5E23,815422,734A21,654020,57361F,492C1E
m207,7.5YR,FFB73C,F1AD39,E3A336,D59933,C78F30,B9852D,AB7B2A,9D7127,8F6724,815D21,73531E,65491B,573F18,493515
m208,10YR,FFBD28,F1B326,E3A924,D59F22,C79520,B98B1E,AB811C,9D771A,8F6D18,816316,735914,654F12,574516,493B0E
m209,2.5Y,FFDE34,F1D131,E3C42E,D5B72B,C7AA28,B99D25,AB9022,9D831F,8F761C,816919,735C16,654F13,574216,49350D
m210,5Y,FFE51D,F1D81C,E3CB1B,D5BE1A,C7B119,B9A418,AB9717,9D8A16,8F7D15,817014,736313,655612,574911,493C16
m211,7.5Y,FEE90C,F0DC0C,E2CF0C,D4C20C,C6B50C,B8A80C,AA9B0C,9C8E0C,8E810C,80740C,72670C,645A0C,564D0C,48400C
m212,10Y,F2EC4A,E4DF46,D6D242,C8C53E,BAB83A,ACAB36,9E9E32,90912E,82842A,747726,666A22,585D1E,4A501A,3C4316
m213,2.5GY,E2F10D,D5E30D,C8D50D,BBC70D,AEB90D,A1AB0D,949D0D,878F0D,7A810D,6D730D,60650D,53570D,46490D,393B0D
